exam_center,CODE,SUBJECT NAME,REG,SAT,NO-CA,W/HD,CLEAN,PASS,GPA,REG/RANK,NAT/RANK
S5742 MWERA SUPER,22,ENGLISH LANGUAGE,12,12,0,0,12,9,4.1667,52/88,3008/4919
S5742 MWERA SUPER,25,ARABIC LANGUAGE,4,4,0,0,4,2,4.25,35/80,115/308
S5742 MWERA SUPER,31,PHYSICS,9,9,0,0,9,0,5.0,83/84,4488/4680
S5742 MWERA SUPER,32,CHEMISTRY,9,9,0,0,9,6,4.1111,58/86,3296/4883
S5742 MWERA SUPER,33,BIOLOGY,12,12,0,0,12,8,4.25,46/87,2618/4916
S5742 MWERA SUPER,41,BASIC MATHEMATICS,12,12,0,0,12,1,4.9167,47/88,3710/4919
S5741 TAQWA MODERN,11,CIVICS,46,46,0,0,46,46,2.3913,7/265,62/4919
S5741 TAQWA MODERN,12,HISTORY,46,46,0,0,46,46,3.0,16/264,198/4896
S5741 TAQWA MODERN,13,GEOGRAPHY,46,46,0,0,46,46,2.3261,3/265,25/4916
S5741 TAQWA MODERN,15,ELIMU YA DINI YA KIISLAMU,10,10,0,0,10,10,2.9,1/30,12/1135
S5741 TAQWA MODERN,21,KISWAHILI,46,46,0,0,46,46,1.5652,3/265,31/4919
S5741 TAQWA MODERN,22,ENGLISH LANGUAGE,46,46,0,0,46,46,2.1087,12/265,134/4919
S5741 TAQWA MODERN,31,PHYSICS,46,46,0,0,46,46,3.3696,15/263,149/4680
S5741 TAQWA MODERN,32,CHEMISTRY,45,45,0,0,45,45,2.8889,18/264,221/4883
S5741 TAQWA MODERN,33,BIOLOGY,46,46,0,0,46,46,2.4348,15/265,132/4916
S5741 TAQWA MODERN,41,BASIC MATHEMATICS,46,46,0,0,46,46,2.0217,1/265,17/4919
S5720 SEGESE,11,CIVICS,129,125,0,0,125,89,3.896,44/140,1853/4919
S5720 SEGESE,12,HISTORY,129,125,0,0,125,64,4.28,71/140,2184/4896
S5720 SEGESE,13,GEOGRAPHY,129,125,0,0,125,67,4.272,81/140,2467/4916
S5720 SEGESE,21,KISWAHILI,129,125,0,0,125,109,3.504,104/140,3779/4919
S5720 SEGESE,22,ENGLISH LANGUAGE,129,125,0,0,125,95,3.864,59/140,1807/4919
S5720 SEGESE,31,PHYSICS,48,45,0,0,45,24,4.4222,46/139,1873/4680
S5720 SEGESE,32,CHEMISTRY,73,71,0,0,71,50,4.0141,86/140,3003/4883
S5720 SEGESE,33,BIOLOGY,129,125,0,0,125,73,4.024,49/140,1727/4916
S5720 SEGESE,41,BASIC MATHEMATICS,129,125,0,0,125,35,4.584,32/140,1054/4919
S5720 SEGESE,61,COMMERCE,12,12,0,0,12,2,4.75,18/29,651/853
S5720 SEGESE,62,BOOK-KEEPING,12,11,0,0,11,1,4.9091,22/29,762/843
S5714 NASCO,11,CIVICS,33,33,0,0,33,33,2.8788,29/265,246/4919
S5714 NASCO,12,HISTORY,33,33,0,0,33,33,2.8485,13/264,143/4896
S5714 NASCO,13,GEOGRAPHY,33,33,0,0,33,33,3.2424,27/265,346/4916
S5714 NASCO,21,KISWAHILI,33,33,0,0,33,33,2.4545,26/265,347/4919
S5714 NASCO,22,ENGLISH LANGUAGE,33,33,0,0,33,33,2.6667,26/265,332/4919
S5714 NASCO,31,PHYSICS,7,7,0,0,7,7,3.4286,16/263,169/4680
S5714 NASCO,32,CHEMISTRY,11,10,0,0,10,10,3.0,27/264,299/4883
S5714 NASCO,33,BIOLOGY,33,33,0,0,33,33,2.9091,28/265,338/4916
S5714 NASCO,41,BASIC MATHEMATICS,33,33,0,0,33,27,3.7273,25/265,297/4919
S5708 MAARIF,11,CIVICS,28,28,0,0,28,24,3.6071,2/33,1091/4919
S5708 MAARIF,12,HISTORY,4,4,0,0,4,3,4.25,4/33,2060/4896
S5708 MAARIF,13,GEOGRAPHY,28,28,0,0,28,22,4.1786,2/33,1997/4916
S5708 MAARIF,15,ELIMU YA DINI YA KIISLAMU,28,28,0,0,28,27,3.5714,2/32,116/1135
S5708 MAARIF,21,KISWAHILI,28,28,0,0,28,27,3.4286,7/33,3437/4919
S5708 MAARIF,22,ENGLISH LANGUAGE,28,28,0,0,28,26,3.2143,2/33,727/4919
S5708 MAARIF,25,ARABIC LANGUAGE,21,20,0,0,20,14,4.05,4/32,97/308
S5708 MAARIF,31,PHYSICS,24,24,0,0,24,3,4.8333,10/33,3707/4680
S5708 MAARIF,32,CHEMISTRY,24,24,0,0,24,20,3.7917,6/33,2197/4883
S5708 MAARIF,33,BIOLOGY,28,28,0,0,28,28,3.3929,2/33,735/4916
S5708 MAARIF,41,BASIC MATHEMATICS,28,28,0,0,28,4,4.7857,3/33,2132/4919
S5707 MAZIWANI,11,CIVICS,29,29,0,0,29,4,4.8276,29/38,4870/4919
S5707 MAZIWANI,12,HISTORY,14,14,0,0,14,2,4.8571,11/34,4735/4896
S5707 MAZIWANI,13,GEOGRAPHY,29,29,0,0,29,1,4.9655,37/37,4906/4916
S5707 MAZIWANI,15,ELIMU YA DINI YA KIISLAMU,29,29,0,0,29,13,4.4138,22/38,658/1135
S5707 MAZIWANI,21,KISWAHILI,29,29,0,0,29,20,4.1034,28/38,4837/4919
S5707 MAZIWANI,22,ENGLISH LANGUAGE,29,29,0,0,29,9,4.6207,17/38,4678/4919
S5707 MAZIWANI,25,ARABIC LANGUAGE,19,19,0,0,19,9,4.3158,5/37,124/308
S5707 MAZIWANI,31,PHYSICS,15,15,0,0,15,0,5.0,36/36,4385/4680
S5707 MAZIWANI,32,CHEMISTRY,15,15,0,0,15,4,4.7333,32/36,4717/4883
S5707 MAZIWANI,33,BIOLOGY,29,29,0,0,29,4,4.8276,32/37,4818/4916
S5707 MAZIWANI,41,BASIC MATHEMATICS,29,29,0,0,29,0,5.0,37/38,4818/4919
S5706 MBUZINI UNGUJA,11,CIVICS,59,58,0,0,58,30,4.3276,52/88,3769/4919
S5706 MBUZINI UNGUJA,12,HISTORY,59,58,0,0,58,4,4.931,71/82,4821/4896
S5706 MBUZINI UNGUJA,13,GEOGRAPHY,59,58,0,0,58,11,4.7931,63/87,4735/4916
S5706 MBUZINI UNGUJA,15,ELIMU YA DINI YA KIISLAMU,59,58,0,0,58,44,4.069,37/88,316/1135
S5706 MBUZINI UNGUJA,21,KISWAHILI,59,58,0,0,58,54,3.3103,38/88,2903/4919
S5706 MBUZINI UNGUJA,22,ENGLISH LANGUAGE,59,58,0,0,58,23,4.5862,67/88,4613/4919
S5706 MBUZINI UNGUJA,25,ARABIC LANGUAGE,59,58,0,0,58,16,4.6897,51/80,196/308
S5706 MBUZINI UNGUJA,33,BIOLOGY,59,58,0,0,58,17,4.6897,78/87,4527/4916
S5706 MBUZINI UNGUJA,41,BASIC MATHEMATICS,59,58,0,0,58,0,5.0,85/88,4698/4919
S5705 MWANAKWEREKEWE B,11,CIVICS,216,215,0,0,215,69,4.6791,69/88,4720/4919
S5705 MWANAKWEREKEWE B,12,HISTORY,216,215,0,0,215,49,4.7581,49/82,4516/4896
S5705 MWANAKWEREKEWE B,13,GEOGRAPHY,216,215,0,0,215,13,4.9395,85/87,4898/4916
S5705 MWANAKWEREKEWE B,15,ELIMU YA DINI YA KIISLAMU,215,214,0,0,214,143,4.215,49/88,446/1135
S5705 MWANAKWEREKEWE B,21,KISWAHILI,216,215,0,0,215,210,3.2884,35/88,2786/4919
S5705 MWANAKWEREKEWE B,22,ENGLISH LANGUAGE,216,215,0,0,215,72,4.6465,73/88,4716/4919
S5705 MWANAKWEREKEWE B,25,ARABIC LANGUAGE,215,214,0,0,214,40,4.7944,61/80,233/308
S5705 MWANAKWEREKEWE B,33,BIOLOGY,216,215,0,0,215,76,4.6465,70/87,4383/4916
S5705 MWANAKWEREKEWE B,41,BASIC MATHEMATICS,216,215,0,0,215,0,5.0,83/88,4633/4919
S5701 BRILLIANT ACADEMY,11,CIVICS,32,32,0,0,32,32,3.0625,8/88,393/4919
S5701 BRILLIANT ACADEMY,12,HISTORY,5,5,0,0,5,5,3.6,9/82,614/4896
S5701 BRILLIANT ACADEMY,13,GEOGRAPHY,32,32,0,0,32,32,3.0938,3/87,245/4916
S5701 BRILLIANT ACADEMY,15,ELIMU YA DINI YA KIISLAMU,31,31,0,0,31,30,3.4194,15/88,85/1135
S5701 BRILLIANT ACADEMY,21,KISWAHILI,32,32,0,0,32,32,2.6875,9/88,670/4919
S5701 BRILLIANT ACADEMY,22,ENGLISH LANGUAGE,32,32,0,0,32,32,2.6563,4/88,329/4919
S5701 BRILLIANT ACADEMY,25,ARABIC LANGUAGE,17,17,0,0,17,16,3.4706,17/80,46/308
S5701 BRILLIANT ACADEMY,31,PHYSICS,29,29,0,0,29,28,3.6207,8/84,270/4680
S5701 BRILLIANT ACADEMY,32,CHEMISTRY,30,30,0,0,30,30,3.0,5/86,285/4883
S5701 BRILLIANT ACADEMY,33,BIOLOGY,32,32,0,0,32,32,2.5938,4/87,191/4916
S5701 BRILLIANT ACADEMY,41,BASIC MATHEMATICS,32,32,0,0,32,28,3.4688,3/88,220/4919
S5699 MUNAA,11,CIVICS,24,23,0,0,23,20,3.9565,39/88,2066/4919
S5699 MUNAA,12,HISTORY,17,17,0,0,17,15,3.8235,20/82,918/4896
S5699 MUNAA,13,GEOGRAPHY,24,23,0,0,23,20,4.0435,30/87,1471/4916
S5699 MUNAA,15,ELIMU YA DINI YA KIISLAMU,23,22,0,0,22,13,4.2727,53/88,515/1135
S5699 MUNAA,21,KISWAHILI,24,23,0,0,23,23,3.2174,33/88,2446/4919
S5699 MUNAA,22,ENGLISH LANGUAGE,24,23,0,0,23,23,3.3043,24/88,812/4919
S5699 MUNAA,25,ARABIC LANGUAGE,8,8,0,0,8,5,4.125,31/80,104/308
S5699 MUNAA,31,PHYSICS,17,16,0,0,16,10,4.3125,28/84,1494/4680
S5699 MUNAA,32,CHEMISTRY,17,16,0,0,16,16,3.3125,17/86,745/4883
S5699 MUNAA,33,BIOLOGY,24,23,0,0,23,23,3.3043,22/87,646/4916
S5699 MUNAA,41,BASIC MATHEMATICS,24,23,0,0,23,8,4.5652,26/88,995/4919
S5694 AMBASHA ISLAMIC HIGH SCHOOL,11,CIVICS,31,31,0,0,31,31,3.0,1/38,341/4919
S5694 AMBASHA ISLAMIC HIGH SCHOOL,12,HISTORY,14,14,0,0,14,14,3.2143,1/34,287/4896
S5694 AMBASHA ISLAMIC HIGH SCHOOL,13,GEOGRAPHY,31,31,0,0,31,31,3.4839,1/37,532/4916
S5694 AMBASHA ISLAMIC HIGH SCHOOL,15,ELIMU YA DINI YA KIISLAMU,31,31,0,0,31,31,2.7742,1/38,6/1135
S5694 AMBASHA ISLAMIC HIGH SCHOOL,21,KISWAHILI,31,31,0,0,31,31,2.4194,1/38,311/4919
S5694 AMBASHA ISLAMIC HIGH SCHOOL,22,ENGLISH LANGUAGE,31,31,0,0,31,31,3.0968,1/38,620/4919
S5694 AMBASHA ISLAMIC HIGH SCHOOL,25,ARABIC LANGUAGE,31,31,0,0,31,28,3.4839,1/37,49/308
S5694 AMBASHA ISLAMIC HIGH SCHOOL,31,PHYSICS,17,17,0,0,17,12,4.1765,3/36,1104/4680
S5694 AMBASHA ISLAMIC HIGH SCHOOL,32,CHEMISTRY,17,17,0,0,17,17,3.0588,1/36,362/4883
S5694 AMBASHA ISLAMIC HIGH SCHOOL,33,BIOLOGY,19,19,0,0,19,19,2.8947,1/37,326/4916
S5694 AMBASHA ISLAMIC HIGH SCHOOL,41,BASIC MATHEMATICS,31,31,0,0,31,20,3.871,1/38,357/4919
S5694 AMBASHA ISLAMIC HIGH SCHOOL,61,COMMERCE,12,12,0,0,12,12,3.0833,1/2,57/853
S5694 AMBASHA ISLAMIC HIGH SCHOOL,62,BOOK-KEEPING,12,12,0,0,12,12,3.4167,2/2,110/843
S5683 WAKALANDA,11,CIVICS,186,186,0,0,186,179,3.2151,11/91,565/4919
S5683 WAKALANDA,12,HISTORY,186,186,0,0,186,164,3.6828,16/91,710/4896
S5683 WAKALANDA,13,GEOGRAPHY,186,186,0,0,186,146,3.9785,23/91,1288/4916
S5683 WAKALANDA,21,KISWAHILI,186,186,0,0,186,185,2.9032,32/91,1161/4919
S5683 WAKALANDA,22,ENGLISH LANGUAGE,186,186,0,0,186,180,3.3011,11/91,810/4919
S5683 WAKALANDA,24,LITERATURE IN ENGLISH,186,186,0,0,186,144,3.957,20/53,652/1533
S5683 WAKALANDA,31,PHYSICS,36,25,0,0,25,15,4.4,24/88,1763/4680
S5683 WAKALANDA,32,CHEMISTRY,36,25,0,0,25,25,3.64,31/91,1636/4883
S5683 WAKALANDA,33,BIOLOGY,186,186,0,0,186,145,3.9409,22/91,1480/4916
S5683 WAKALANDA,41,BASIC MATHEMATICS,186,186,0,0,186,58,4.6183,18/91,1163/4919
S5675 ZIGI,11,CIVICS,35,34,0,0,34,15,4.4118,168/282,4097/4919
S5675 ZIGI,12,HISTORY,35,34,0,0,34,9,4.6471,182/281,4109/4896
S5675 ZIGI,13,GEOGRAPHY,35,34,0,0,34,8,4.6765,210/282,4469/4916
S5675 ZIGI,21,KISWAHILI,35,34,0,0,34,34,3.2353,73/282,2547/4919
S5675 ZIGI,22,ENGLISH LANGUAGE,35,34,0,0,34,15,4.3529,166/282,3877/4919
S5675 ZIGI,31,PHYSICS,8,8,0,0,8,1,4.875,165/246,3926/4680
S5675 ZIGI,32,CHEMISTRY,8,8,0,0,8,1,4.875,266/274,4827/4883
S5675 ZIGI,33,BIOLOGY,35,34,0,0,34,6,4.7941,242/282,4758/4916
S5675 ZIGI,41,BASIC MATHEMATICS,35,34,0,0,34,0,5.0,257/282,4773/4919
S5665 UZALENDO,11,CIVICS,68,68,0,0,68,30,4.4853,15/44,4322/4919
S5665 UZALENDO,12,HISTORY,41,41,0,0,41,5,4.878,20/39,4763/4896
S5665 UZALENDO,13,GEOGRAPHY,68,68,0,0,68,16,4.7647,25/43,4689/4916
S5665 UZALENDO,15,ELIMU YA DINI YA KIISLAMU,68,68,0,0,68,41,4.2647,25/44,506/1135
S5665 UZALENDO,21,KISWAHILI,68,68,0,0,68,64,3.3676,12/44,3162/4919
S5665 UZALENDO,22,ENGLISH LANGUAGE,68,68,0,0,68,47,4.25,11/44,3423/4919
S5665 UZALENDO,25,ARABIC LANGUAGE,64,64,0,0,64,24,4.5625,15/41,158/308
S5665 UZALENDO,31,PHYSICS,27,27,0,0,27,1,4.963,30/43,4284/4680
S5665 UZALENDO,32,CHEMISTRY,27,27,0,0,27,8,4.7037,40/44,4677/4883
S5665 UZALENDO,33,BIOLOGY,68,68,0,0,68,26,4.5441,20/43,3989/4916
S5665 UZALENDO,41,BASIC MATHEMATICS,68,68,0,0,68,4,4.9412,17/44,4024/4919
S5664 THE MOUNTAIN OF HILL,11,CIVICS,8,8,0,0,8,4,4.25,48/88,3427/4919
S5664 THE MOUNTAIN OF HILL,12,HISTORY,8,8,0,0,8,6,4.25,34/82,2059/4896
S5664 THE MOUNTAIN OF HILL,13,GEOGRAPHY,8,8,0,0,8,3,4.5,46/87,3743/4916
S5664 THE MOUNTAIN OF HILL,15,ELIMU YA DINI YA KIISLAMU,6,6,0,0,6,2,4.6667,84/88,962/1135
S5664 THE MOUNTAIN OF HILL,21,KISWAHILI,8,8,0,0,8,6,3.75,63/88,4489/4919
S5664 THE MOUNTAIN OF HILL,22,ENGLISH LANGUAGE,8,8,0,0,8,6,4.125,50/88,2830/4919
S5664 THE MOUNTAIN OF HILL,31,PHYSICS,4,4,0,0,4,0,5.0,84/84,4606/4680
S5664 THE MOUNTAIN OF HILL,32,CHEMISTRY,8,8,0,0,8,2,4.75,85/86,4737/4883
S5664 THE MOUNTAIN OF HILL,33,BIOLOGY,8,8,0,0,8,5,4.25,47/87,2619/4916
S5664 THE MOUNTAIN OF HILL,41,BASIC MATHEMATICS,8,8,0,0,8,0,5.0,88/88,4904/4919
S5662 UFUNUO,11,CIVICS,15,15,0,0,15,15,3.4667,33/210,864/4919
S5662 UFUNUO,12,HISTORY,15,15,0,0,15,10,4.0,53/209,1272/4896
S5662 UFUNUO,13,GEOGRAPHY,15,15,0,0,15,12,4.0,55/210,1365/4916
S5662 UFUNUO,21,KISWAHILI,15,15,0,0,15,15,2.8,54/210,924/4919
S5662 UFUNUO,22,ENGLISH LANGUAGE,15,15,0,0,15,15,3.2667,28/210,779/4919
S5662 UFUNUO,24,LITERATURE IN ENGLISH,15,15,0,0,15,11,4.1333,66/143,832/1533
S5662 UFUNUO,31,PHYSICS,9,9,0,0,9,4,4.5556,89/207,2431/4680
S5662 UFUNUO,32,CHEMISTRY,9,9,0,0,9,8,3.7778,90/208,2144/4883
S5662 UFUNUO,33,BIOLOGY,15,15,0,0,15,15,3.3333,28/210,671/4916
S5662 UFUNUO,41,BASIC MATHEMATICS,15,15,0,0,15,8,4.1333,21/210,506/4919
S5661 HOCET,11,CIVICS,39,38,0,0,38,21,4.3684,116/170,3919/4919
S5661 HOCET,12,HISTORY,39,38,0,0,38,11,4.6316,116/170,4020/4896
S5661 HOCET,13,GEOGRAPHY,39,38,0,0,38,9,4.6579,138/170,4408/4916
S5661 HOCET,21,KISWAHILI,39,38,0,0,38,37,3.1316,71/170,2018/4919
S5661 HOCET,22,ENGLISH LANGUAGE,39,38,0,0,38,25,4.1053,91/170,2729/4919
S5661 HOCET,31,PHYSICS,9,9,0,0,9,0,5.0,151/165,4488/4680
S5661 HOCET,32,CHEMISTRY,12,12,0,0,12,1,4.9167,169/170,4846/4883
S5661 HOCET,33,BIOLOGY,39,38,0,0,38,15,4.5,98/170,3813/4916
S5661 HOCET,41,BASIC MATHEMATICS,39,38,0,0,38,5,4.8684,94/170,3041/4919
S5659 KARIBU,11,CIVICS,11,11,0,0,11,8,3.8182,33/88,1585/4919
S5659 KARIBU,12,HISTORY,11,11,0,0,11,7,4.3636,40/82,2605/4896
S5659 KARIBU,13,GEOGRAPHY,11,11,0,0,11,6,4.2727,37/87,2478/4916
S5659 KARIBU,15,ELIMU YA DINI YA KIISLAMU,8,8,0,0,8,6,4.125,40/88,359/1135
S5659 KARIBU,21,KISWAHILI,11,11,0,0,11,11,3.5455,49/88,3931/4919
S5659 KARIBU,22,ENGLISH LANGUAGE,11,11,0,0,11,8,4.0909,47/88,2673/4919
S5659 KARIBU,25,ARABIC LANGUAGE,5,5,0,0,5,3,4.4,39/80,131/308
S5659 KARIBU,31,PHYSICS,5,5,0,0,5,1,4.8,59/84,3567/4680
S5659 KARIBU,32,CHEMISTRY,5,5,0,0,5,5,3.8,39/86,2242/4883
S5659 KARIBU,33,BIOLOGY,11,11,0,0,11,8,4.0909,43/87,1950/4916
S5659 KARIBU,36,INFORMATION & COMPUTER STUDIES,7,7,0,0,7,1,4.8571,9/9,159/165
S5659 KARIBU,41,BASIC MATHEMATICS,11,11,0,0,11,3,4.7273,34/88,1716/4919
S5652 GWATA KISARAWE,11,CIVICS,20,20,0,0,20,8,4.4,123/170,4055/4919
S5652 GWATA KISARAWE,12,HISTORY,20,20,0,0,20,8,4.25,66/170,2056/4896
S5652 GWATA KISARAWE,13,GEOGRAPHY,20,20,0,0,20,8,4.4,84/170,3174/4916
S5652 GWATA KISARAWE,21,KISWAHILI,20,20,0,0,20,16,3.65,157/170,4272/4919
S5652 GWATA KISARAWE,22,ENGLISH LANGUAGE,20,20,0,0,20,12,4.05,87/170,2510/4919
S5652 GWATA KISARAWE,31,PHYSICS,2,2,0,0,2,2,4.0,36/165,778/4680
S5652 GWATA KISARAWE,32,CHEMISTRY,10,10,0,0,10,6,4.3,129/170,3887/4883
S5652 GWATA KISARAWE,33,BIOLOGY,20,20,0,0,20,8,4.45,89/170,3550/4916
S5652 GWATA KISARAWE,41,BASIC MATHEMATICS,20,20,0,0,20,2,4.9,114/170,3462/4919
S5651 KIZENGI,11,CIVICS,22,22,0,0,22,8,4.5,175/176,4378/4919
S5651 KIZENGI,12,HISTORY,22,22,0,0,22,6,4.6364,169/176,4045/4896
S5651 KIZENGI,13,GEOGRAPHY,22,22,0,0,22,7,4.5909,170/176,4173/4916
S5651 KIZENGI,21,KISWAHILI,22,22,0,0,22,21,3.2727,115/176,2697/4919
S5651 KIZENGI,22,ENGLISH LANGUAGE,22,22,0,0,22,11,4.3636,163/176,3925/4919
S5651 KIZENGI,32,CHEMISTRY,6,6,0,0,6,4,4.0,120/176,2958/4883
S5651 KIZENGI,33,BIOLOGY,22,22,0,0,22,7,4.5909,171/176,4187/4916
S5651 KIZENGI,41,BASIC MATHEMATICS,22,22,0,0,22,1,4.9545,161/176,4213/4919
S5646 ST. JOSEPH RUTABO,11,CIVICS,89,89,0,0,89,86,3.0225,22/245,359/4919
S5646 ST. JOSEPH RUTABO,12,HISTORY,89,89,0,0,89,84,3.4719,30/245,482/4896
S5646 ST. JOSEPH RUTABO,13,GEOGRAPHY,89,89,0,0,89,85,3.3708,29/245,434/4916
S5646 ST. JOSEPH RUTABO,21,KISWAHILI,89,89,0,0,89,88,2.618,33/245,560/4919
S5646 ST. JOSEPH RUTABO,22,ENGLISH LANGUAGE,89,89,0,0,89,86,2.9213,32/245,482/4919
S5646 ST. JOSEPH RUTABO,31,PHYSICS,61,61,0,0,61,45,4.0984,74/243,930/4680
S5646 ST. JOSEPH RUTABO,32,CHEMISTRY,73,73,0,0,73,71,3.5068,78/245,1259/4883
S5646 ST. JOSEPH RUTABO,33,BIOLOGY,89,89,0,0,89,85,3.1685,32/245,503/4916
S5646 ST. JOSEPH RUTABO,41,BASIC MATHEMATICS,89,89,0,0,89,61,3.8652,20/245,354/4919
S5642 UNYIANGA,11,CIVICS,29,28,0,0,28,11,4.5,149/161,4375/4919
S5642 UNYIANGA,12,HISTORY,29,28,0,0,28,7,4.75,158/161,4489/4896
S5642 UNYIANGA,13,GEOGRAPHY,29,28,0,0,28,14,4.3214,107/161,2729/4916
