exam_center,CENTRE CATEGORY,CENTRE POSITION IN ITS CATEGORY(NATIONWISE),CENTRE POSITION IN ITS CATEGORY(REGIONWISE),EXAMINATION CENTRE GPA,EXAMINATION CENTRE REGION,TOTAL PASSED CANDIDATES,REGIST,ABSENT,SAT,WITHHELD,NO-CA,CLEAN,DIV I,DIV II,DIV III,DIV IV,DIV 0
S0114 KAENGESA SEMINARY,CENTRE WITH LESS THAN 40 CANDIDATES,25/1011,1/21,2.1757,RUKWA,29,29,0,29,0,0,29,13,15,1,0,0
S0116 KANTALAMBA,CENTRE WITH 40 CANDIDATES OR MORE,302/3908,3/70,2.8604,RUKWA,150,151,0,151,0,0,151,33,41,45,31,1
S0117 KASITA SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,159/3908,10/176,2.3984,MOROGORO,70,70,0,70,0,0,70,22,38,10,0,0
S0118 KATOKE SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,30/3908,3/215,1.6833,KAGERA,57,57,0,57,0,0,57,51,6,0,0,0
S0119 KIBAHA,CENTRE WITH 40 CANDIDATES OR MORE,44/3908,6/129,1.7813,PWANI,132,132,0,132,0,0,132,97,25,9,1,0
S0121 ST. JAMES SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,39/3908,5/276,1.7374,KILIMANJARO,51,51,0,51,0,0,51,39,12,0,0,0
S0122 KILIMANJARO BOYS',CENTRE WITH 40 CANDIDATES OR MORE,253/3908,31/276,2.7262,KILIMANJARO,68,69,0,69,0,0,69,18,22,20,8,1
S0124 LIKONDE SEMINARY,CENTRE WITH LESS THAN 40 CANDIDATES,9/1011,1/53,1.8468,RUVUMA,29,29,0,29,0,0,29,22,7,0,0,0
S0127 MAKOKO SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,114/3908,3/177,2.2367,MARA,43,43,0,43,0,0,43,15,26,2,0,0
S0128 MALANGALI,CENTRE WITH 40 CANDIDATES OR MORE,410/3908,17/134,3.0578,IRINGA,75,84,0,84,0,0,84,19,19,17,20,9
S0130 MAUA SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,9/3908,2/276,1.4717,KILIMANJARO,52,52,0,52,0,0,52,50,2,0,0,0
S0134 MOSHI,CENTRE WITH 40 CANDIDATES OR MORE,521/3908,56/276,3.2528,KILIMANJARO,72,74,0,74,0,0,74,10,14,21,27,2
S0135 MOSHI TECHNICAL,CENTRE WITH 40 CANDIDATES OR MORE,262/3908,34/276,2.7622,KILIMANJARO,146,149,0,149,0,0,149,51,23,48,24,3
S0136 MUSOMA,CENTRE WITH 40 CANDIDATES OR MORE,436/3908,14/177,3.1137,MARA,97,103,0,103,0,0,103,25,22,28,22,6
S0138 MPWAPWA,CENTRE WITH 40 CANDIDATES OR MORE,367/3908,10/152,2.9811,DODOMA,90,92,0,92,0,0,92,16,25,27,22,2
S0139 MTWARA TECHNICAL,CENTRE WITH 40 CANDIDATES OR MORE,438/3908,5/118,3.1157,MTWARA,108,116,1,115,0,0,115,27,11,42,28,7
S0140 MZUMBE,CENTRE WITH 40 CANDIDATES OR MORE,55/3908,5/176,1.8666,MOROGORO,88,88,0,88,0,0,88,57,26,4,1,0
S0141 NAMUPA SEMINARY,CENTRE WITH LESS THAN 40 CANDIDATES,23/1011,1/61,2.1635,LINDI,26,26,0,26,0,0,26,11,14,1,0,0
S0146 NYEGEZI SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,16/3908,2/246,1.5638,MWANZA,54,54,0,54,0,0,54,52,2,0,0,0
S0147 PUGU,CENTRE WITH 40 CANDIDATES OR MORE,542/3908,58/237,3.2997,DAR ES SALAAM,96,110,0,110,0,0,110,19,22,22,33,14
S0148 RUBYA SEMINARY,CENTRE WITH LESS THAN 40 CANDIDATES,3/1011,1/30,1.6083,KAGERA,36,36,0,36,0,0,36,35,1,0,0,0
S0152 SHINYANGA,CENTRE WITH 40 CANDIDATES OR MORE,433/3908,10/121,3.1085,SHINYANGA,99,106,0,106,0,0,106,17,31,24,27,7
S0153 SONGEA BOYS',CENTRE WITH 40 CANDIDATES OR MORE,149/3908,4/137,2.3676,RUVUMA,61,62,0,62,0,0,62,25,22,9,5,1
S0154 ST. PETER'S SEMINARY,CENTRE WITH LESS THAN 40 CANDIDATES,4/1011,1/59,1.6583,MOROGORO,24,24,0,24,0,0,24,22,2,0,0,0
S0155 TABORA BOYS',CENTRE WITH 40 CANDIDATES OR MORE,28/3908,1/111,1.6766,TABORA,67,68,1,67,0,0,67,53,14,0,0,0
S0156 TANGA TECHNICAL,CENTRE WITH 40 CANDIDATES OR MORE,746/3908,21/215,3.5560,TANGA,150,175,0,175,0,0,175,22,22,49,57,25
S0157 HANGA SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,204/3908,8/137,2.5778,RUVUMA,48,48,0,48,0,0,48,10,25,13,0,0
S0159 ST. JOSEPH'S ITERAMBOGO SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,47/3908,2/137,1.8110,KIGOMA,50,50,0,50,0,0,50,39,11,0,0,0
S0165 URU SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,71/3908,8/276,1.9943,KILIMANJARO,61,61,0,61,0,0,61,40,19,2,0,0
S0167 KIDUGALA LUTHERAN SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,112/3908,3/95,2.2253,NJOMBE,89,89,0,89,0,0,89,32,52,5,0,0
S0168 SANU SEMINARY,CENTRE WITH LESS THAN 40 CANDIDATES,15/1011,1/36,1.9833,MANYARA,39,39,0,39,0,0,39,25,14,0,0,0
S0169 BIHAWANA JUNIOR SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,111/3908,4/152,2.2141,DODOMA,48,48,0,48,0,0,48,20,20,8,0,0
S0171 ARUSHA CATHOLIC SEMINARY,CENTRE WITH LESS THAN 40 CANDIDATES,11/1011,1/46,1.8731,ARUSHA,39,39,0,39,0,0,39,30,9,0,0,0
S0172 DON BOSCO SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,18/3908,2/134,1.5991,IRINGA,59,59,0,59,0,0,59,52,7,0,0,0
S0173 NYAMILAMA,CENTRE WITH 40 CANDIDATES OR MORE,805/3908,56/246,3.6090,MWANZA,120,143,3,140,0,0,140,7,21,35,57,20
S0174 CONSOLATA SEMINARY,CENTRE WITH LESS THAN 40 CANDIDATES,14/1011,1/29,1.9514,IRINGA,35,35,0,35,0,0,35,23,12,0,0,0
S0176 LUSANGI MORAVIAN JUNIOR SEMINARY,CENTRE WITH LESS THAN 40 CANDIDATES,212/1011,10/65,3.3810,TABORA,21,21,0,21,0,0,21,1,6,4,10,0
S0177 ST. MARY'S JUNIOR SEMINARY,CENTRE WITH LESS THAN 40 CANDIDATES,10/1011,2/41,1.8579,PWANI,38,38,0,38,0,0,38,27,10,1,0,0
S0178 MANOW LUTHERAN JUNIOR SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,634/3908,33/187,3.4274,MBEYA,54,55,0,55,0,0,55,3,10,19,22,1
S0179 ST. MARY'S SEMINARY MBALIZI,CENTRE WITH 40 CANDIDATES OR MORE,176/3908,7/187,2.4372,MBEYA,43,43,0,43,0,0,43,13,23,7,0,0
S0180 ST. FRANCIS DE SALES SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,143/3908,8/176,2.3588,MOROGORO,68,68,0,68,0,0,68,21,36,11,0,0
S0181 KISARAWE LUTHERAN JUNIOR SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,496/3908,25/129,3.2127,PWANI,88,89,0,89,0,0,89,6,25,31,26,1
S0182 AL-FAROUQ SEMINARY,CENTRE WITH LESS THAN 40 CANDIDATES,157/1011,19/62,3.1960,DAR ES SALAAM,32,33,0,33,0,0,33,3,10,9,10,1
S0183 STELLA MATUTINA LIGHANO SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,224/3908,10/137,2.6373,RUVUMA,45,45,0,45,0,0,45,11,21,7,6,0
S0184 AGAPE LUTHERAN J SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,109/3908,16/276,2.2041,KILIMANJARO,81,81,0,81,0,0,81,36,37,8,0,0
S0185 SENGEREMA SEMINARY,CENTRE WITH LESS THAN 40 CANDIDATES,5/1011,1/19,1.6810,MWANZA,29,29,0,29,0,0,29,24,5,0,0,0
S0186 RONDO JUNIOR SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,630/3908,5/61,3.4222,LINDI,42,42,0,42,0,0,42,0,9,19,14,0
S0187 AN-NOOR ISLAMIC BOYS' SEMINARY,CENTRE WITH LESS THAN 40 CANDIDATES,126/1011,6/67,3.0670,TANGA,29,29,0,29,0,0,29,4,10,5,10,0
S0188 KIRINJIKO ISLAMIC SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,515/3908,55/276,3.2426,KILIMANJARO,187,187,0,187,0,0,187,11,40,90,46,0
S0189 FEZA BOYS',CENTRE WITH 40 CANDIDATES OR MORE,3/3908,1/237,1.3314,DAR ES SALAAM,74,74,0,74,0,0,74,72,2,0,0,0
S0190 ST. JOSEPH-KILOCHA SEMINARY,CENTRE WITH LESS THAN 40 CANDIDATES,7/1011,1/21,1.8027,NJOMBE,37,37,0,37,0,0,37,30,7,0,0,0
S0191 ST. MATHIAS MULUMBA,CENTRE WITH LESS THAN 40 CANDIDATES,27/1011,1/34,2.2564,KIGOMA,37,37,0,37,0,0,37,15,17,5,0,0
S0192 ST. JOHN'S SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,229/3908,5/116,2.6510,SINGIDA,49,49,0,49,0,0,49,16,13,18,2,0
S0194 FARAJA SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,209/3908,26/276,2.6011,KILIMANJARO,154,154,0,154,0,0,154,38,66,40,10,0
S0195 ST. CAROLI,CENTRE WITH 40 CANDIDATES OR MORE,441/3908,31/246,3.1206,MWANZA,133,134,0,134,0,0,134,15,30,53,35,1
S0196 ST. THOMAS MORE KIBOGORA,CENTRE WITH 40 CANDIDATES OR MORE,242/3908,9/137,2.6928,KIGOMA,63,63,0,63,0,0,63,15,22,23,3,0
S0197 MATANGINI ISLAMIC SEMINARY,CENTRE WITH LESS THAN 40 CANDIDATES,114/1011,13/62,3.0097,DAR ES SALAAM,36,37,1,36,0,0,36,2,9,23,2,0
S0198 AILANGA LUTHERAN JUNIOR SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,201/3908,14/178,2.5345,ARUSHA,89,89,0,89,0,0,89,21,48,20,0,0
S0199 MSAMALA MUSLIM SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,718/3908,28/137,3.5217,RUVUMA,79,81,1,80,0,0,80,1,15,27,36,1
S0203 IRINGA GIRLS',CENTRE WITH 40 CANDIDATES OR MORE,361/3908,15/134,2.9683,IRINGA,88,97,2,95,0,0,95,22,28,21,17,7
S0204 JANGWANI,CENTRE WITH 40 CANDIDATES OR MORE,228/3908,27/237,2.6462,DAR ES SALAAM,278,291,1,290,0,0,290,97,84,46,51,12
S0205 KIBOSHO GIRLS',CENTRE WITH 40 CANDIDATES OR MORE,197/3908,24/276,2.5106,KILIMANJARO,119,119,0,119,0,0,119,26,72,20,1,0
S0206 KILAKALA,CENTRE WITH 40 CANDIDATES OR MORE,51/3908,3/176,1.8366,MOROGORO,69,69,0,69,0,0,69,48,14,7,0,0
S0207 KIRAENI GIRLS',CENTRE WITH 40 CANDIDATES OR MORE,130/3908,18/276,2.3043,KILIMANJARO,121,121,0,121,0,0,121,49,53,15,4,0
S0208 KISUTU,CENTRE WITH 40 CANDIDATES OR MORE,390/3908,44/237,3.0304,DAR ES SALAAM,135,153,0,153,0,0,153,17,65,38,15,18
S0209 KOROGWE GIRLS',CENTRE WITH 40 CANDIDATES OR MORE,406/3908,15/215,3.0566,TANGA,88,88,0,88,0,0,88,18,21,16,33,0
S0210 BIGWA SISTERS SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,170/3908,11/176,2.4279,MOROGORO,93,94,1,93,0,0,93,31,46,14,2,0
S0213 MASASI GIRLS',CENTRE WITH 40 CANDIDATES OR MORE,765/3908,11/118,3.5768,MTWARA,62,64,1,63,0,0,63,6,5,12,39,1
S0214 MSALATO,CENTRE WITH 40 CANDIDATES OR MORE,62/3908,2/152,1.9277,DODOMA,93,93,0,93,0,0,93,61,17,12,3,0
S0215 MTWARA GIRLS',CENTRE WITH 40 CANDIDATES OR MORE,421/3908,4/118,3.0895,MTWARA,61,61,0,61,0,0,61,10,17,12,22,0
S0216 NGANZA,CENTRE WITH 40 CANDIDATES OR MORE,86/3908,10/246,2.0893,MWANZA,42,42,0,42,0,0,42,26,14,2,0,0
S0217 PERAMIHO GIRLS',CENTRE WITH 40 CANDIDATES OR MORE,24/3908,1/137,1.6596,RUVUMA,58,58,0,58,0,0,58,52,5,1,0,0
S0218 RUGAMBWA,CENTRE WITH 40 CANDIDATES OR MORE,482/3908,31/215,3.1910,KAGERA,121,132,0,132,0,0,132,30,18,35,38,11
S0220 TABORA GIRLS',CENTRE WITH 40 CANDIDATES OR MORE,150/3908,5/111,2.3699,TABORA,111,112,1,111,0,0,111,53,23,22,13,0
S0222 ZANAKI,CENTRE WITH 40 CANDIDATES OR MORE,281/3908,33/237,2.8167,DAR ES SALAAM,197,208,4,204,0,0,204,52,72,38,35,7
S0223 MASAMA GIRLS',CENTRE WITH 40 CANDIDATES OR MORE,261/3908,33/276,2.7534,KILIMANJARO,70,70,0,70,0,0,70,10,35,19,6,0
S0224 KIFUNGILO GIRLS',CENTRE WITH 40 CANDIDATES OR MORE,35/3908,2/215,1.7189,TANGA,117,117,0,117,0,0,117,102,15,0,0,0
S0225 CAGLIERO GIRLS',CENTRE WITH 40 CANDIDATES OR MORE,610/3908,25/134,3.3935,IRINGA,53,54,0,54,0,0,54,1,12,18,22,1
S0226 KAGUNGULI,CENTRE WITH LESS THAN 40 CANDIDATES,49/1011,3/19,2.5294,MWANZA,26,26,0,26,0,0,26,7,11,6,2,0
S0231 SUMVE GIRLS',CENTRE WITH 40 CANDIDATES OR MORE,449/3908,33/246,3.1351,MWANZA,74,74,0,74,0,0,74,5,21,31,17,0
S0232 HEKIMA GIRLS',CENTRE WITH 40 CANDIDATES OR MORE,120/3908,8/215,2.2702,KAGERA,85,85,0,85,0,0,85,40,29,16,0,0
S0233 ST. MARY'S MAZINDE JUU,CENTRE WITH 40 CANDIDATES OR MORE,22/3908,1/215,1.6303,TANGA,102,102,0,102,0,0,102,92,10,0,0,0
S0234 ST. LUISE MBINGA GIRLS',CENTRE WITH 40 CANDIDATES OR MORE,73/3908,3/137,2.0158,RUVUMA,72,72,0,72,0,0,72,44,26,1,1,0
S0235 BUKUMBI,CENTRE WITH 40 CANDIDATES OR MORE,351/3908,28/246,2.9530,MWANZA,147,149,1,148,0,0,148,15,54,61,17,1
S0236 KILIMANJARO ACADEMY,CENTRE WITH LESS THAN 40 CANDIDATES,174/1011,14/41,3.2581,KILIMANJARO,18,21,0,21,0,0,21,1,8,7,2,3
S0237 ST. AGNES CHIPOLE,CENTRE WITH 40 CANDIDATES OR MORE,163/3908,5/137,2.4110,RUVUMA,86,87,1,86,0,0,86,30,41,15,0,0
S0238 MRUMA GIRLS',CENTRE WITH LESS THAN 40 CANDIDATES,162/1011,12/41,3.2106,KILIMANJARO,32,32,0,32,0,0,32,2,8,15,7,0
S0239 ST. FRANCIS GIRLS',CENTRE WITH 40 CANDIDATES OR MORE,2/3908,1/187,1.1794,MBEYA,91,91,0,91,0,0,91,91,0,0,0,0
S0240 ST. JOSEPH GIRLS' SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,186/3908,17/246,2.4847,MWANZA,69,70,1,69,0,0,69,21,28,17,3,0
S0241 KOWAK GIRLS',CENTRE WITH 40 CANDIDATES OR MORE,82/3908,2/177,2.0689,MARA,103,103,0,103,0,0,103,53,48,2,0,0
S0242 ST. MARGARET,CENTRE WITH LESS THAN 40 CANDIDATES,268/1011,18/41,3.5101,KILIMANJARO,19,22,2,20,0,0,20,0,7,3,9,1
S0243 USANGI GIRLS',CENTRE WITH LESS THAN 40 CANDIDATES,736/1011,37/41,4.1243,KILIMANJARO,15,23,0,23,1,0,22,0,3,1,11,7
S0244 MTWARA SISTERS SEMINARY,CENTRE WITH LESS THAN 40 CANDIDATES,95/1011,1/28,2.9079,MTWARA,37,37,0,37,0,0,37,8,10,12,7,0
S0245 PALLOTI GIRLS',CENTRE WITH 40 CANDIDATES OR MORE,95/3908,3/116,2.1191,SINGIDA,91,91,0,91,0,0,91,53,28,9,1,0
S0246 MAASAE GIRLS' LUTHERAN,CENTRE WITH 40 CANDIDATES OR MORE,370/3908,23/178,2.9882,ARUSHA,73,73,0,73,0,0,73,13,20,26,14,0
S0247 BONICONSILI MABAMBA GIRLS',CENTRE WITH 40 CANDIDATES OR MORE,46/3908,1/137,1.7910,KIGOMA,72,72,0,72,0,0,72,58,14,0,0,0
S0248 MARIAN GIRLS',CENTRE WITH 40 CANDIDATES OR MORE,12/3908,2/129,1.5070,PWANI,100,100,0,100,0,0,100,93,7,0,0,0
S0249 LORETO GIRLS',CENTRE WITH 40 CANDIDATES OR MORE,64/3908,8/246,1.9557,MWANZA,104,104,0,104,0,0,104,69,33,2,0,0
S0250 MURIGHA,CENTRE WITH 40 CANDIDATES OR MORE,383/3908,8/116,3.0131,SINGIDA,61,61,0,61,0,0,61,8,19,27,7,0
S0251 AT-TAAUN ISLAMIC GIRLS' SEMINARY,CENTRE WITH LESS THAN 40 CANDIDATES,171/1011,10/59,3.2512,MOROGORO,26,27,0,27,0,0,27,3,4,10,9,1
S0252 AL-KHEIR ISLAMIC GIRLS' SEMINARY,CENTRE WITH LESS THAN 40 CANDIDATES,76/1011,3/67,2.8090,TANGA,39,39,0,39,0,0,39,6,17,10,6,0
S0254 WALI-UL-ASR GIRLS' SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,517/3908,26/129,3.2445,PWANI,45,46,0,46,0,0,46,8,8,13,16,1
S0255 ST. CHRISTINA GIRLS',CENTRE WITH 40 CANDIDATES OR MORE,96/3908,4/215,2.1269,TANGA,46,46,0,46,0,0,46,22,20,4,0,0
S0256 HURUMA GIRLS',CENTRE WITH 40 CANDIDATES OR MORE,34/3908,1/152,1.7153,DODOMA,49,49,0,49,0,0,49,42,7,0,0,0
S0257 MCF-MAKAMBAKO GIRLS',CENTRE WITH 40 CANDIDATES OR MORE,853/3908,26/95,3.6395,NJOMBE,97,102,0,102,0,0,102,3,9,36,49,5
S0258 BARAMBA GIRLS',CENTRE WITH 40 CANDIDATES OR MORE,395/3908,25/215,3.0369,KAGERA,42,42,0,42,0,0,42,1,13,23,5,0
S0259 SAMARITAN GIRLS',CENTRE WITH 40 CANDIDATES OR MORE,808/3908,46/187,3.6110,MBEYA,54,59,1,58,0,0,58,0,13,15,26,4
S0260 ST. ANN'S GIRLS' SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,146/3908,9/176,2.3598,MOROGORO,66,67,1,66,0,0,66,27,27,12,0,0
S0261 MLIMBA GIRLS' HIGH,CENTRE WITH 40 CANDIDATES OR MORE,588/3908,29/176,3.3592,MOROGORO,59,59,0,59,0,0,59,4,12,23,20,0
S0262 AMANI GIRLS',CENTRE WITH 40 CANDIDATES OR MORE,85/3908,2/116,2.0872,SINGIDA,78,78,0,78,0,0,78,43,28,7,0,0
S0263 VISITATION GIRLS',CENTRE WITH 40 CANDIDATES OR MORE,104/3908,14/276,2.1764,KILIMANJARO,74,75,0,75,0,1,74,43,21,10,0,0
S0264 BARBRO-JOHANSSON,CENTRE WITH 40 CANDIDATES OR MORE,119/3908,11/237,2.2677,DAR ES SALAAM,87,87,0,87,0,0,87,37,38,9,3,0
S0265 CORNELIUS GIRLS',CENTRE WITH LESS THAN 40 CANDIDATES,124/1011,15/62,3.0486,DAR ES SALAAM,31,31,0,31,0,0,31,2,13,10,6,0
S0266 REGINA MUNDI GIRLS',CENTRE WITH 40 CANDIDATES OR MORE,203/3908,12/176,2.5432,MOROGORO,63,63,0,63,0,0,63,19,24,19,1,0
S0267 ROSE MARIE GIRLS' HIGH SCHOOL,CENTRE WITH LESS THAN 40 CANDIDATES,185/1011,15/41,3.3111,PWANI,11,11,0,11,0,0,11,0,4,3,4,0
S0268 BETHEL SABS GIRLS',CENTRE WITH 40 CANDIDATES OR MORE,17/3908,1/134,1.5848,IRINGA,76,76,0,76,0,0,76,68,8,0,0,0
S0269 ANWARITE GIRLS',CENTRE WITH 40 CANDIDATES OR MORE,5/3908,1/276,1.4283,KILIMANJARO,53,54,1,53,0,0,53,52,1,0,0,0
S0270 ST. GETRUDE GIRLS',CENTRE WITH 40 CANDIDATES OR MORE,844/3908,25/95,3.6343,NJOMBE,47,47,0,47,0,0,47,0,5,15,27,0
S0271 MANYUNYU,CENTRE WITH 40 CANDIDATES OR MORE,1142/3908,36/95,3.7896,NJOMBE,105,109,0,109,0,0,109,3,15,20,67,4
S0272 AL-IHSAN GIRLS',CENTRE WITH 40 CANDIDATES OR MORE,245/3908,5/66,2.7034,MJINI MAGHARIBI,55,55,0,55,0,0,55,5,38,7,5,0
S0273 ST. AGNES KWIRO GIRLS',CENTRE WITH 40 CANDIDATES OR MORE,411/3908,21/176,3.0649,MOROGORO,63,63,0,63,0,0,63,6,16,31,10,0
S0274 SUNSHINE,CENTRE WITH 40 CANDIDATES OR MORE,327/3908,19/129,2.9041,PWANI,85,85,0,85,0,0,85,17,19,40,9,0
S0275 GLENRONS GIRLS',CENTRE WITH LESS THAN 40 CANDIDATES,240/1011,23/62,3.4495,DAR ES SALAAM,30,32,1,31,1,0,30,1,6,10,13,0
S0277 SPRING VALLEY GIRLS',CENTRE WITH 40 CANDIDATES OR MORE,303/3908,10/134,2.8618,IRINGA,53,53,0,53,0,0,53,7,22,18,6,0
S0278 IGUMBILO,CENTRE WITH 40 CANDIDATES OR MORE,164/3908,6/187,2.4161,MBEYA,79,79,0,79,0,0,79,26,37,16,0,0
S0279 EMMABERG GIRLS',CENTRE WITH 40 CANDIDATES OR MORE,475/3908,12/95,3.1803,NJOMBE,46,46,0,46,0,0,46,3,14,16,13,0
S0280 UMMU-SALAMA,CENTRE WITH 40 CANDIDATES OR MORE,1639/3908,44/129,3.9261,PWANI,40,48,1,47,7,0,40,0,2,7,31,0
S0283 JOHN THE BAPTIST,CENTRE WITH 40 CANDIDATES OR MORE,830/3908,80/237,3.6265,DAR ES SALAAM,50,55,0,55,0,0,55,2,9,11,28,5
S0284 RONECA GIRLS',CENTRE WITH 40 CANDIDATES OR MORE,337/3908,20/129,2.9273,PWANI,102,102,0,102,0,0,102,11,45,30,16,0
S0285 ST THERESIA GIRLS',CENTRE WITH 40 CANDIDATES OR MORE,297/3908,2/70,2.8545,RUKWA,108,108,0,108,0,0,108,10,48,43,7,0
S0286 JAMES SANGU,CENTRE WITH 40 CANDIDATES OR MORE,127/3908,1/86,2.2962,SONGWE,108,108,0,108,0,0,108,41,57,10,0,0
S0287 KIPOK GIRLS',CENTRE WITH 40 CANDIDATES OR MORE,2043/3908,120/178,4.0149,ARUSHA,118,138,1,137,0,0,137,1,6,25,86,19
S0289 SOLACE GIRLS',CENTRE WITH 40 CANDIDATES OR MORE,213/3908,9/187,2.6060,MBEYA,87,87,0,87,0,0,87,15,40,31,1,0
S0291 GHOMME,CENTRE WITH 40 CANDIDATES OR MORE,603/3908,64/237,3.3782,DAR ES SALAAM,40,40,0,40,0,0,40,2,11,9,18,0
S0292 MBOKA,CENTRE WITH LESS THAN 40 CANDIDATES,1011/1011,19/19,5.0000,MWANZA,0,1,0,1,0,0,1,0,0,0,0,1
S0293 ATHENA,CENTRE WITH LESS THAN 40 CANDIDATES,307/1011,20/41,3.5860,PWANI,19,20,0,20,0,0,20,1,1,9,8,1
S0294 MT.CARMEL,CENTRE WITH 40 CANDIDATES OR MORE,263/3908,10/137,2.7627,KIGOMA,55,55,0,55,0,0,55,11,22,16,6,0
S0295 PRECIOUS BLOOD,CENTRE WITH 40 CANDIDATES OR MORE,6/3908,1/178,1.4308,ARUSHA,91,91,0,91,0,0,91,87,4,0,0,0
S0296 BWERANYANGE GIRLS',CENTRE WITH 40 CANDIDATES OR MORE,530/3908,36/215,3.2769,KAGERA,55,56,0,56,0,0,56,5,7,24,19,1
S0297 QUEEN OF FAMILY,CENTRE WITH 40 CANDIDATES OR MORE,52/3908,1/121,1.8494,SHINYANGA,87,87,0,87,0,0,87,64,20,3,0,0
S0298 FEZA GIRLS',CENTRE WITH 40 CANDIDATES OR MORE,31/3908,6/237,1.6901,DAR ES SALAAM,72,72,0,72,0,0,72,58,13,1,0,0
S0302 ARUSHA,CENTRE WITH 40 CANDIDATES OR MORE,1017/3908,59/178,3.7407,ARUSHA,295,360,5,355,0,0,355,16,54,71,154,60
S0304 BUKOBA,CENTRE WITH 40 CANDIDATES OR MORE,591/3908,40/215,3.3634,KAGERA,163,183,0,183,0,0,183,19,42,47,55,20
S0305 BULUBA,CENTRE WITH 40 CANDIDATES OR MORE,1454/3908,47/121,3.8788,SHINYANGA,71,89,1,88,0,0,88,3,10,16,42,17
S0306 DODOMA,CENTRE WITH 40 CANDIDATES OR MORE,936/3908,28/152,3.6982,DODOMA,240,268,9,259,0,0,259,13,32,49,146,19
S0307 DODOMA CENTRAL,CENTRE WITH 40 CANDIDATES OR MORE,894/3908,23/152,3.6697,DODOMA,49,73,3,70,20,0,50,2,6,10,31,1
S0308 ENABOISHU,CENTRE WITH 40 CANDIDATES OR MORE,662/3908,41/178,3.4577,ARUSHA,139,145,1,144,0,0,144,6,36,37,60,5
