CNO,SEX,GPA,CLASS,ACCOUNTANCY,ADV/MATHS,AGRICULTURE,ARABIC,BAM,BIOLOGY,CHEMISTRY,COMMERCE,COMP/SCIENCE,DIVINITY,ECONOMICS,ENGLISH,F & HN NUTRITION,FRENCH,G/STUDIES,GEOGR,HISTORY,IS/KNOWLEDGE,KISWAHILI,PHYSICS
S0271/0503,F,3.0,MERIT,,,,,,,,,,,,X,,,D,B,B,,B,
S0271/0504,F,3.0,MERIT,,,,,,,,,,,,B,,,D,X,B,,B,
S0271/0505,F,3.7,DISTINCTION,,,,,,,,,,,,X,,,C,+,B,,+,
S0271/0506,F,3.7,DISTINCTION,,,,,,,,,,,,X,,,C,B,+,,+,
S0271/0507,F,3.7,DISTINCTION,,,,,,,,,,,,X,,,C,+,+,,B,
S0271/0508,F,3.7,DISTINCTION,,,,,,,,,,,,X,,,C,B,+,,+,
S0271/0509,F,3.0,MERIT,,,,,,,,,,,,X,,,D,C,B,,+,
S0271/0510,F,3.3,MERIT,,,,,,,,,,,,X,,,C,C,+,,+,
S0271/0511,F,3.0,MERIT,,,,,,,,,,,,X,,,C,B,B,,B,
S0271/0512,F,3.7,DISTINCTION,,,,,,,,,,,,X,,,B,B,+,,+,
S0271/0513,F,3.7,DISTINCTION,,,,,,,,,,,,X,,,C,B,+,,+,
S0271/0514,F,3.7,DISTINCTION,,,,,,,,,,,,+,,,C,X,B,,+,
S0271/0515,F,4.0,DISTINCTION,,,,,,,,,,,,X,,,C,+,+,,+,
S0271/0516,F,2.7,CREDIT,,,,,,,,,,,,X,,,D,C,B,,B,
S0271/0517,F,3.7,DISTINCTION,,,,,,,,,,,,X,,,B,B,+,,+,
S0271/0518,F,3.7,DISTINCTION,,,,,,,,,,,,X,,,B,+,B,,+,
S0272/0501,F,1.3,PASS,,X,,X,E,C,D,,,,,X,,,E,D,X,,X,X
S0272/0502,F,2.3,CREDIT,,X,,X,E,C,C,,,,,X,,,D,B,X,,X,X
S0272/0503,F,2.0,CREDIT,,X,,X,D,C,C,,,,,X,,,E,C,X,,X,X
S0272/0504,F,1.3,PASS,,C,,X,X,X,C,,,,,X,,,F,X,X,,X,E
S0272/0505,F,2.7,CREDIT,,X,,D,X,X,X,,,,,B,,,E,X,C,,B,X
S0272/0506,F,1.7,CREDIT,,X,,X,E,B,C,,,,,X,,,D,X,X,,X,E
S0272/0507,F,1.3,PASS,,X,,X,E,B,D,,,,,X,,,C,X,X,,X,E
S0272/0508,F,2.7,CREDIT,,X,,X,X,X,X,,,,,+,,,D,X,C,,C,X
S0272/0509,F,3.0,MERIT,,X,,X,X,X,X,,,,,B,,,D,X,B,,B,X
S0272/0510,F,1.3,PASS,,X,,C,X,X,X,,,,,D,,,F,X,X,,D,X
S0272/0511,F,2.7,CREDIT,,X,,X,E,B,C,,,,,X,,,D,B,X,,X,X
S0272/0512,F,1.3,PASS,,X,,X,D,C,C,,,,,X,,,E,X,X,,X,E
S0272/0513,F,3.0,MERIT,,X,,C,X,X,X,,,,,B,,,D,D,B,,B,X
S0272/0514,F,1.3,PASS,,C,,X,X,X,C,,,,,X,,,F,X,X,,X,E
S0272/0515,F,1.0,PASS,,X,,X,C,D,C,,,,,X,,,C,X,X,,X,E
S0272/0516,F,3.3,MERIT,,X,,X,X,X,X,,,,,+,,,C,X,B,,B,X
S0272/0517,F,3.0,MERIT,,X,,X,X,X,X,,,,,B,,,C,B,B,,C,X
S0272/0518,F,2.0,CREDIT,,X,,C,X,X,X,,,,,C,,,F,X,X,,C,X
S0272/0519,F,2.7,CREDIT,,X,,X,X,X,X,,,,,X,,,D,C,B,,B,X
S0272/0520,F,0.0,FAIL,,X,,E,X,X,X,,,,,F,,,F,X,X,,E,X
S0272/0521,F,2.0,CREDIT,,X,,X,D,B,D,,,,,X,,,D,C,X,,X,X
S0276/0501,F,3.7,DISTINCTION,,X,,,B,+,+,,,,X,,,,B,B,X,,X,X
S0276/0502,F,3.7,DISTINCTION,,X,,,D,+,+,,,,X,,,,D,B,X,,X,X
S0276/0503,F,3.7,DISTINCTION,,X,,,D,+,+,,,,X,,,,C,B,X,,X,X
S0276/0504,F,3.0,MERIT,,X,,,C,B,B,,,,X,,,,C,B,X,,X,X
S0276/0505,F,2.0,CREDIT,,X,,,C,D,B,,,,X,,,,D,C,X,,X,X
S0276/0506,F,2.0,CREDIT,,X,,,D,C,C,,,,X,,,,C,C,X,,X,X
S0276/0507,F,2.0,CREDIT,,X,,,E,C,C,,,,X,,,,D,C,X,,X,X
S0276/0508,F,2.7,CREDIT,,X,,,D,B,C,,,,X,,,,C,B,X,,X,X
S0276/0509,F,2.7,CREDIT,,X,,,D,C,B,,,,X,,,,D,B,X,,X,X
S0276/0510,F,3.0,MERIT,,X,,,C,B,B,,,,X,,,,C,B,X,,X,X
S0276/0511,F,2.3,CREDIT,,X,,,E,C,C,,,,X,,,,C,B,X,,X,X
S0276/0512,F,2.3,CREDIT,,X,,,D,C,C,,,,X,,,,D,B,X,,X,X
S0276/0513,F,3.3,MERIT,,X,,,D,+,B,,,,X,,,,C,B,X,,X,X
S0276/0514,F,3.3,MERIT,,X,,,C,+,B,,,,X,,,,D,B,X,,X,X
S0276/0515,F,3.0,MERIT,,X,,,C,B,B,,,,X,,,,C,B,X,,X,X
S0276/0516,F,4.0,DISTINCTION,,X,,,C,+,+,,,,X,,,,C,+,X,,X,X
S0276/0517,F,2.7,CREDIT,,X,,,D,B,C,,,,X,,,,C,B,X,,X,X
S0276/0518,F,3.3,MERIT,,X,,,C,+,B,,,,X,,,,D,B,X,,X,X
S0276/0519,F,4.0,DISTINCTION,,X,,,B,+,+,,,,X,,,,C,+,X,,X,X
S0276/0520,F,3.0,MERIT,,X,,,E,B,B,,,,X,,,,C,B,X,,X,X
S0276/0521,F,3.7,DISTINCTION,,X,,,C,+,B,,,,X,,,,C,+,X,,X,X
S0276/0522,F,2.7,CREDIT,,X,,,F,B,C,,,,X,,,,D,B,X,,X,X
S0276/0523,F,2.7,CREDIT,,X,,,C,C,B,,,,X,,,,D,B,X,,X,X
S0276/0524,F,3.0,MERIT,,X,,,D,B,B,,,,X,,,,D,B,X,,X,X
S0276/0525,F,3.3,MERIT,,X,,,D,+,B,,,,X,,,,D,B,X,,X,X
S0276/0526,F,3.0,MERIT,,X,,,D,+,D,,,,X,,,,C,+,X,,X,X
S0276/0528,F,2.7,CREDIT,,X,,,D,B,C,,,,X,,,,C,B,X,,X,X
S0276/0529,F,4.0,DISTINCTION,,X,,,C,+,+,,,,X,,,,C,+,X,,X,X
S0276/0530,F,2.3,CREDIT,,X,,,D,C,C,,,,X,,,,D,B,X,,X,X
S0276/0531,F,3.3,MERIT,,X,,,D,+,B,,,,X,,,,D,B,X,,X,X
S0276/0532,F,2.7,CREDIT,,X,,,D,B,C,,,,X,,,,D,B,X,,X,X
S0276/0533,F,2.3,CREDIT,,X,,,D,C,C,,,,X,,,,D,B,X,,X,X
S0276/0534,F,1.7,CREDIT,,X,,,D,D,C,,,,X,,,,D,C,X,,X,X
S0276/0535,F,2.3,CREDIT,,X,,,D,B,C,,,,X,,,,D,C,X,,X,X
S0276/0536,F,3.3,MERIT,,X,,,B,B,+,,,,X,,,,C,B,X,,X,X
S0276/0537,F,2.3,CREDIT,,X,,,D,C,C,,,,X,,,,D,B,X,,X,X
S0276/0538,F,4.0,DISTINCTION,,X,,,B,+,+,,,,X,,,,D,+,X,,X,X
S0276/0539,F,3.0,MERIT,,X,,,C,B,B,,,,X,,,,C,B,X,,X,X
S0276/0540,F,2.7,CREDIT,,X,,,C,C,B,,,,X,,,,D,B,X,,X,X
S0276/0541,F,2.3,CREDIT,,X,,,D,C,C,,,,X,,,,C,B,X,,X,X
S0276/0542,F,3.3,MERIT,,X,,,F,+,B,,,,X,,,,D,B,X,,X,X
S0276/0543,F,2.3,CREDIT,,X,,,D,C,C,,,,X,,,,C,B,X,,X,X
S0276/0544,F,2.3,CREDIT,,X,,,D,C,C,,,,X,,,,D,B,X,,X,X
S0276/0545,F,2.7,CREDIT,,X,,,D,B,C,,,,X,,,,C,B,X,,X,X
S0276/0546,F,3.7,DISTINCTION,,X,,,C,+,+,,,,X,,,,C,B,X,,X,X
S0276/0547,F,2.3,CREDIT,,X,,,C,B,C,,,,X,,,,C,C,X,,X,X
S0276/0548,F,3.7,DISTINCTION,,X,,,C,+,B,,,,X,,,,C,+,X,,X,X
S0276/0549,F,3.0,MERIT,,X,,,C,B,B,,,,X,,,,C,B,X,,X,X
S0276/0550,F,3.0,MERIT,,X,,,F,B,B,,,,X,,,,C,B,X,,X,X
S0276/0551,F,2.0,CREDIT,,X,,,D,C,D,,,,X,,,,D,B,X,,X,X
S0276/0552,F,2.7,CREDIT,,X,,,D,B,C,,,,X,,,,D,B,X,,X,X
S0276/0553,F,2.3,CREDIT,,X,,,D,C,C,,,,X,,,,C,B,X,,X,X
S0276/0554,F,3.0,MERIT,,X,,,D,C,B,,,,X,,,,B,+,X,,X,X
S0276/0555,F,3.3,MERIT,,X,,,C,+,B,,,,X,,,,C,B,X,,X,X
S0276/0556,F,3.3,MERIT,,X,,,C,+,C,,,,X,,,,C,+,X,,X,X
S0276/0557,F,2.7,CREDIT,,X,,,C,B,C,,,,X,,,,D,B,X,,X,X
S0276/0558,F,3.0,MERIT,,X,,,D,B,B,,,,X,,,,C,B,X,,X,X
S0276/0559,F,2.3,CREDIT,,X,,,C,B,C,,,,X,,,,D,X,X,,X,C
S0276/0560,F,3.0,MERIT,,X,,,B,+,+,,,,X,,,,C,X,X,,X,D
S0276/0561,F,3.0,MERIT,,X,,,+,B,B,,,,X,,,,D,X,X,,X,B
S0276/0562,F,3.3,MERIT,,X,,,B,+,+,,,,X,,,,D,X,X,,X,C
S0276/0563,F,2.3,CREDIT,,X,,,B,B,B,,,,X,,,,C,X,X,,X,D
S0276/0564,F,2.7,CREDIT,,X,,,D,B,B,,,,X,,,,D,X,X,,X,C
S0276/0565,F,2.0,CREDIT,,X,,,C,C,B,,,,X,,,,C,X,X,,X,D
S0276/0566,F,2.7,CREDIT,,X,,,C,B,B,,,,X,,,,C,X,X,,X,C
S0276/0567,F,1.3,PASS,,X,,,D,D,C,,,,X,,,,D,X,X,,X,D
S0276/0568,F,1.3,PASS,,X,,,D,C,C,,,,X,,,,D,X,X,,X,E
S0276/0569,F,2.0,CREDIT,,X,,,D,B,C,,,,X,,,,D,X,X,,X,D
S0276/0570,F,3.7,DISTINCTION,,X,,,B,+,+,,,,X,,,,C,X,X,,X,B
S0276/0571,F,2.7,CREDIT,,X,,,C,+,B,,,,X,,,,C,X,X,,X,D
S0276/0572,F,1.0,PASS,,X,,,D,C,D,,,,X,,,,C,X,X,,X,E
S0276/0573,F,2.3,CREDIT,,X,,,C,+,C,,,,X,,,,C,X,X,,X,D
S0276/0574,F,3.0,MERIT,,X,,,C,+,B,,,,X,,,,D,X,X,,X,C
S0276/0575,F,2.7,CREDIT,,X,,,C,B,B,,,,X,,,,D,X,X,,X,C
S0276/0576,F,3.7,DISTINCTION,,X,,,B,+,+,,,,X,,,,C,X,X,,X,B
S0276/0577,F,3.0,MERIT,,X,,,B,+,B,,,,X,,,,C,X,X,,X,C
S0276/0578,F,3.3,MERIT,,X,,,C,+,+,,,,X,,,,C,X,X,,X,C
S0276/0579,F,3.3,MERIT,,X,,,C,+,+,,,,X,,,,C,X,X,,X,C
S0276/0580,F,1.7,CREDIT,,X,,,C,C,C,,,,X,,,,C,X,X,,X,D
S0276/0581,F,1.3,PASS,,X,,,E,C,C,,,,X,,,,D,X,X,,X,E
S0276/0582,F,1.7,CREDIT,,X,,,C,C,C,,,,X,,,,D,X,X,,X,D
S0276/0583,F,1.3,PASS,,X,,,C,B,D,,,,X,,,,C,X,X,,X,E
S0276/0584,F,1.7,CREDIT,,X,,,C,C,B,,,,X,,,,C,X,X,,X,E
S0276/0585,F,2.3,CREDIT,,X,,,C,B,B,,,,X,,,,C,X,X,,X,D
S0276/0586,F,3.3,MERIT,,X,,,B,+,+,,,,X,,,,C,X,X,,X,C
S0276/0587,F,2.3,CREDIT,,X,,,C,B,B,,,,X,,,,C,X,X,,X,D
S0276/0588,F,2.7,CREDIT,,X,,,C,+,B,,,,X,,,,C,X,X,,X,D
S0276/0589,F,2.3,CREDIT,,X,,,C,B,B,,,,X,,,,C,X,X,,X,D
S0276/0590,F,3.3,MERIT,,X,,,C,+,+,,,,X,,,,D,X,X,,X,C
S0276/0591,F,3.7,DISTINCTION,,X,,,B,+,+,,,,X,,,,C,X,X,,X,B
S0276/0592,F,3.7,DISTINCTION,,X,,,B,+,+,,,,X,,,,C,X,X,,X,B
S0276/0593,F,2.3,CREDIT,,X,,,D,B,B,,,,X,,,,C,X,X,,X,D
S0276/0594,F,3.3,MERIT,,X,,,B,+,+,,,,X,,,,C,X,X,,X,C
S0276/0595,F,1.7,CREDIT,,X,,,D,C,C,,,,X,,,,C,X,X,,X,D
S0276/0596,F,2.7,CREDIT,,X,,,C,B,+,,,,X,,,,C,X,X,,X,D
S0276/0597,F,2.7,CREDIT,,X,,,D,B,+,,,,X,,,,C,X,X,,X,D
S0276/0598,F,2.0,CREDIT,,X,,,C,C,B,,,,X,,,,C,X,X,,X,D
S0276/0599,F,3.7,DISTINCTION,,X,,,B,+,+,,,,X,,,,C,X,X,,X,B
S0276/0600,F,3.0,MERIT,,X,,,C,B,+,,,,X,,,,D,X,X,,X,C
S0276/0601,F,3.0,MERIT,,X,,,C,+,B,,,,X,,,,C,X,X,,X,C
S0276/0602,F,3.3,MERIT,,X,,,D,+,+,,,,X,,,,C,X,X,,X,C
S0276/0603,F,2.3,CREDIT,,X,,,D,C,B,,,,X,,,,D,X,X,,X,C
S0276/0604,F,3.7,DISTINCTION,,X,,,B,+,+,,,,X,,,,C,X,X,,X,B
S0276/0605,F,3.3,MERIT,,X,,,C,+,+,,,,X,,,,C,X,X,,X,C
S0276/0606,F,2.7,CREDIT,,X,,,C,+,B,,,,X,,,,C,X,X,,X,D
S0276/0607,F,3.3,MERIT,,X,,,B,+,+,,,,X,,,,D,X,X,,X,C
S0276/0608,F,2.3,CREDIT,,X,,,B,+,C,,,,X,,,,C,X,X,,X,D
S0276/0609,F,3.7,DISTINCTION,,X,,,+,+,+,,,,X,,,,C,X,X,,X,B
S0276/0610,F,1.7,CREDIT,,X,,,C,C,C,,,,X,,,,D,X,X,,X,D
S0276/0611,F,1.7,CREDIT,,X,,,C,C,C,,,,X,,,,D,X,X,,X,D
S0276/0612,F,2.7,CREDIT,,X,,,C,B,+,,,,X,,,,C,X,X,,X,D
S0276/0613,F,3.3,MERIT,,X,,,B,+,+,,,,X,,,,C,X,X,,X,C
S0276/0614,F,3.7,DISTINCTION,,X,,,B,+,+,,,,X,,,,C,X,X,,X,B
S0276/0615,F,2.7,CREDIT,,X,,,B,B,B,,,,X,,,,C,X,X,,X,C
S0276/0616,F,2.0,CREDIT,,X,,,C,C,B,,,,X,,,,C,X,X,,X,D
S0276/0617,F,3.0,MERIT,,X,,,B,B,+,,,,X,,,,C,X,X,,X,C
S0276/0618,F,1.7,CREDIT,,X,,,D,C,C,,,,X,,,,D,X,X,,X,D
S0276/0619,F,3.7,DISTINCTION,,X,,,B,+,+,,,,X,,,,D,X,X,,X,B
S0276/0620,F,1.7,CREDIT,,X,,,D,C,C,,,,X,,,,D,X,X,,X,D
S0276/0621,F,3.0,MERIT,,X,,,B,B,+,,,,X,,,,C,X,X,,X,C
S0276/0622,F,2.7,CREDIT,,X,,,C,B,B,,,,X,,,,C,X,X,,X,C
S0276/0623,F,3.7,DISTINCTION,,X,,,B,+,+,,,,X,,,,C,X,X,,X,B
S0276/0624,F,1.3,PASS,,X,,,D,C,C,,,,X,,,,D,X,X,,X,E
S0276/0625,F,3.3,MERIT,,X,,,B,+,+,,,,X,,,,C,X,X,,X,C
S0276/0626,F,1.3,PASS,,X,,,C,C,C,,,,X,,,,C,X,X,,X,E
S0276/0627,F,1.7,CREDIT,,X,,,C,C,C,,,,X,,,,C,X,X,,X,D
S0276/0628,F,3.0,MERIT,,X,,,C,B,+,,,,X,,,,D,X,X,,X,C
S0276/0629,F,3.3,MERIT,,X,,,B,+,+,,,,X,,,,C,X,X,,X,C
S0276/0630,F,2.0,CREDIT,,X,,,D,B,C,,,,X,,,,D,X,X,,X,D
S0276/0631,F,2.7,CREDIT,,X,,,C,B,+,,,,X,,,,C,X,X,,X,D
S0276/0632,F,2.0,CREDIT,,X,,,D,C,B,,,,X,,,,C,X,X,,X,D
S0276/0633,F,2.7,CREDIT,,X,,,D,B,+,,,,X,,,,D,X,X,,X,D
S0276/0634,F,3.7,DISTINCTION,,X,,,B,+,+,,,,X,,,,C,X,X,,X,B
S0276/0635,F,2.3,CREDIT,,C,,,X,X,B,,,,X,,,,C,X,X,,X,C
S0276/0636,F,2.3,CREDIT,,C,,,X,X,B,,,,X,,,,C,X,X,,X,C
S0276/0637,F,3.7,DISTINCTION,,+,,,X,X,+,,,,X,,,,C,X,X,,X,B
S0276/0638,F,1.7,CREDIT,,C,,,X,X,C,,,,X,,,,E,X,X,,X,D
S0276/0639,F,3.3,MERIT,,B,,,X,X,+,,,,X,,,,C,X,X,,X,B
S0276/0640,F,2.0,CREDIT,,B,,,X,X,B,,,,X,,,,D,X,X,,X,E
S0276/0641,F,3.3,MERIT,,B,,,X,X,+,,,,X,,,,C,X,X,,X,B
S0276/0642,F,1.0,PASS,,D,,,X,X,C,,,,X,,,,D,X,X,,X,E
S0276/0643,F,2.0,CREDIT,,C,,,X,X,B,,,,X,,,,D,X,X,,X,D
S0276/0644,F,2.7,CREDIT,,B,,,X,X,B,,,,X,,,,D,X,X,,X,C
S0276/0645,F,3.0,MERIT,,B,,,X,X,+,,,,X,,,,D,X,X,,X,C
S0276/0646,F,2.3,CREDIT,,C,,,X,X,+,,,,X,,,,C,X,X,,X,D
S0276/0647,F,3.0,MERIT,,C,,,X,X,+,,,,X,,,,D,X,X,,X,B
S0276/0648,F,1.7,CREDIT,,D,,,X,X,B,,,,X,,,,C,X,X,,X,D
S0276/0649,F,2.3,CREDIT,,B,,,X,X,B,,,,X,,,,D,X,X,,X,D
S0276/0650,F,2.0,CREDIT,,C,,,X,X,B,,,,X,,,,D,X,X,,X,D
S0276/0651,F,1.3,PASS,,C,,,X,X,C,,,,X,,,,D,X,X,,X,E
S0276/0652,F,2.0,CREDIT,,C,,,X,X,B,,,,X,,,,D,X,X,,X,D
S0276/0653,F,1.7,CREDIT,,D,,,X,X,B,,,,X,,,,C,X,X,,X,D
S0276/0654,F,2.3,CREDIT,,C,,,X,X,B,,,,X,,,,C,X,X,,X,C
S0276/0655,F,2.0,CREDIT,,C,,,X,X,B,,,,X,,,,C,X,X,,X,D
S0276/0656,F,3.7,DISTINCTION,,+,,,X,X,A,,,,X,,,,C,X,X,,X,C
S0276/0657,F,2.7,CREDIT,,B,,,X,X,+,,,,X,,,,C,X,X,,X,D
S0276/0658,F,2.0,CREDIT,,C,,,X,X,B,,,,X,,,,B,X,X,,X,D
S0276/0659,F,1.3,PASS,,D,,,X,X,C,,,,X,,,,E,X,X,,X,D
S0276/0660,F,3.0,MERIT,,B,,,X,X,+,,,,X,,,,D,X,X,,X,C
S0276/0661,F,1.7,CREDIT,,C,,,X,X,C,,,,X,,,,C,X,X,,X,D
S0276/0662,F,2.0,CREDIT,,C,,,X,X,B,,,,X,,,,D,X,X,,X,D
S0276/0663,F,3.3,MERIT,,B,,,X,X,+,,,,X,,,,C,X,X,,X,B
S0276/0664,F,1.7,CREDIT,,D,,,X,X,B,,,,X,,,,C,X,X,,X,D
S0276/0665,F,2.0,CREDIT,,C,,,X,X,B,,,,X,,,,C,X,X,,X,D
S0276/0666,F,2.7,CREDIT,,B,,,X,X,+,,,,X,,,,D,X,X,,X,D
S0276/0667,F,3.0,MERIT,,B,,,X,X,+,,,,X,,,,C,X,X,,X,C
S0276/0668,F,1.7,CREDIT,,C,,,X,X,C,,,,X,,,,D,X,X,,X,D
S0276/0669,F,3.3,MERIT,,B,,,X,X,+,,,,X,,,,D,X,X,,X,B
S0276/0670,F,3.3,MERIT,,B,,,X,X,X,,,,X,,,,D,+,X,,X,B
S0276/0671,F,1.0,PASS,,D,,,X,X,X,,,,X,,,,D,C,X,,X,E
S0276/0672,F,3.0,MERIT,,B,,,X,X,X,,,,X,,,,C,+,X,,X,C
S0276/0673,F,2.7,CREDIT,,B,,,X,X,X,,,,X,,,,D,+,X,,X,D
S0276/0674,F,2.7,CREDIT,,C,,,X,X,X,,,,X,,,,C,+,X,,X,C
S0276/0675,F,2.7,CREDIT,,C,,,X,X,X,,,,X,,,,D,+,X,,X,C
S0276/0676,F,1.7,CREDIT,,D,,,X,X,X,,,,X,,,,D,B,X,,X,D
S0276/0677,F,2.3,CREDIT,,C,,,X,X,X,,,,X,,,,C,+,X,,X,D
S0276/0678,F,1.7,CREDIT,,D,,,X,X,X,,,,X,,,,C,B,X,,X,D
S0276/0679,F,2.0,CREDIT,,C,,,X,X,X,,,,X,,,,C,B,X,,X,D
S0276/0680,F,1.0,PASS,,E,,,X,X,X,,,,X,,,,D,B,X,,X,E
S0276/0681,F,2.7,CREDIT,,B,,,X,X,X,,,,X,,,,C,B,X,,X,C
S0276/0682,F,3.0,MERIT,,B,,,X,X,X,,,,X,,,,D,+,X,,X,C
S0276/0683,F,1.0,PASS,,E,,,X,X,X,,,,X,,,,C,B,X,,X,E
S0276/0684,F,3.0,MERIT,,D,,,X,X,X,,,,+,,,,B,+,X,,X,X
S0276/0685,F,2.3,CREDIT,,D,,,X,X,X,,,,B,,,,C,B,X,,X,X
S0276/0686,F,2.7,CREDIT,,D,,,X,X,X,,,,+,,,,C,B,X,,X,X
S0276/0687,F,3.3,MERIT,,C,,,X,X,X,,,,+,,,,C,+,X,,X,X
S0276/0688,F,3.7,DISTINCTION,,B,,,X,X,X,,,,+,,,,B,+,X,,X,X
S0276/0689,F,3.7,DISTINCTION,,B,,,X,X,X,,,,+,,,,B,+,X,,X,X
S0276/0690,F,2.7,CREDIT,,C,,,X,X,X,,,,B,,,,C,B,X,,X,X
S0276/0691,F,1.7,CREDIT,,E,,,X,X,X,,,,C,,,,C,B,X,,X,X
S0276/0692,F,4.0,DISTINCTION,,+,,,X,X,X,,,,+,,,,C,+,X,,X,X
S0276/0693,F,2.0,CREDIT,,E,,,X,X,X,,,,B,,,,D,B,X,,X,X
S0276/0694,F,3.3,MERIT,,C,,,X,X,X,,,,+,,,,C,+,X,,X,X
S0276/0695,F,3.0,MERIT,,B,,,X,X,X,,,,B,,,,C,B,X,,X,X
S0276/0696,F,3.7,DISTINCTION,,B,,,X,X,X,,,,+,,,,B,+,X,,X,X
S0276/0697,F,3.0,MERIT,,X,,,E,X,X,,,,B,,,,C,B,B,,X,X
S0276/0698,F,3.0,MERIT,,X,,,F,X,X,,,,B,,,,C,B,B,,X,X
S0276/0699,F,2.0,CREDIT,,X,,,F,X,X,,,,C,,,,D,C,C,,X,X
S0276/0700,F,3.0,MERIT,,X,,,F,X,X,,,,B,,,,C,B,B,,X,X
S0276/0701,F,3.3,MERIT,,X,,,E,X,X,,,,B,,,,C,+,B,,X,X
S0276/0702,F,2.7,CREDIT,,X,,,D,X,X,,,,C,,,,D,B,B,,X,X
S0276/0703,F,2.3,CREDIT,,X,,,F,X,X,,,,D,,,,D,B,B,,X,X
S0276/0704,F,4.0,DISTINCTION,,X,,,D,X,X,,,,+,,,,C,+,+,,X,X
S0276/0705,F,3.7,DISTINCTION,,X,,,C,X,X,,,,B,,,,C,+,+,,X,X
S0276/0706,F,2.7,CREDIT,,X,,,F,X,X,,,,C,,,,D,B,B,,X,X
S0276/0707,F,3.3,MERIT,,X,,,X,X,X,,,,X,,,,B,B,B,,+,X
S0276/0708,F,3.3,MERIT,,X,,,X,X,X,,,,X,,,,C,B,+,,B,X
S0276/0709,F,2.3,CREDIT,,X,,,X,X,X,,,,X,,,,D,C,C,,B,X
S0276/0710,F,4.0,DISTINCTION,,X,,,X,X,X,,,,X,,,,C,+,+,,+,X
S0276/0711,F,3.3,MERIT,,X,,,X,X,X,,,,X,,,,C,B,B,,+,X
S0276/0712,F,3.0,MERIT,,X,,,X,X,X,,,,X,,,,D,B,B,,B,X
S0276/0713,F,3.7,DISTINCTION,,X,,,X,X,X,,,,X,,,,B,+,+,,B,X
S0276/0714,F,4.0,DISTINCTION,,X,,,X,X,X,,,,X,,,,C,+,+,,+,X
S0281/0501,F,3.0,MERIT,,,,,X,,,,,,X,B,,,C,X,C,,+,
S0281/0502,F,2.3,CREDIT,,,,,X,,,,,,X,B,,,C,C,C,,X,
S0281/0503,F,3.3,MERIT,,,,,X,,,,,,X,B,,,C,X,B,,+,
S0281/0504,F,3.3,MERIT,,,,,X,,,,,,X,B,,,C,X,B,,+,
S0281/0505,F,4.0,DISTINCTION,,,,,X,,,,,,X,+,,,C,X,+,,+,
S0281/0506,F,3.3,MERIT,,,,,X,,,,,,X,B,,,C,X,B,,+,
S0281/0507,F,3.7,DISTINCTION,,,,,X,,,,,,X,+,,,C,X,B,,+,
S0281/0508,F,3.0,MERIT,,,,,X,,,,,,X,B,,,D,X,B,,B,
S0281/0509,F,2.0,CREDIT,,,,,X,,,,,,X,C,,,D,C,C,,X,
S0281/0510,F,2.7,CREDIT,,,,,X,,,,,,X,X,,,D,C,B,,B,
S0281/0511,F,3.0,MERIT,,,,,X,,,,,,X,B,,,B,B,B,,X,
S0281/0512,F,3.0,MERIT,,,,,X,,,,,,X,B,,,D,B,B,,X,
S0281/0513,F,2.7,CREDIT,,,,,X,,,,,,X,C,,,D,B,B,,X,
S0281/0514,F,3.0,MERIT,,,,,X,,,,,,X,B,,,D,B,B,,X,
S0281/0515,F,3.0,MERIT,,,,,D,,,,,,B,X,,,C,B,B,,X,
S0281/0516,F,2.3,CREDIT,,,,,E,,,,,,C,X,,,D,B,C,,X,
S0281/0517,F,2.3,CREDIT,,,,,X,,,,,,X,C,,,D,X,C,,B,
S0281/0518,F,2.7,CREDIT,,,,,D,,,,,,C,X,,,C,B,B,,X,
S0281/0519,F,3.0,MERIT,,,,,X,,,,,,X,+,,,D,C,B,,X,
S0281/0520,F,3.7,DISTINCTION,,,,,D,,,,,,B,X,,,C,+,+,,X,
S0281/0521,F,3.0,MERIT,,,,,B,,,,,,B,X,,,C,B,B,,X,
S0281/0522,F,2.3,CREDIT,,,,,C,,,,,,C,X,,,D,C,B,,X,
S0281/0523,F,3.0,MERIT,,,,,X,,,,,,X,B,,,D,X,B,,B,
S0281/0524,F,3.3,MERIT,,,,,X,,,,,,X,B,,,D,X,B,,+,
S0281/0525,F,2.7,CREDIT,,,,,X,,,,,,X,B,,,D,X,C,,B,
S0281/0526,F,3.7,DISTINCTION,,,,,X,,,,,,X,B,,,D,X,+,,+,
S0281/0527,F,2.7,CREDIT,,,,,X,,,,,,X,B,,,C,C,B,,X,
S0281/0528,F,2.3,CREDIT,,,,,E,,,,,,C,X,,,D,B,C,,X,
S0281/0529,F,2.7,CREDIT,,,,,E,,,,,,C,X,,,D,B,B,,X,
S0281/0530,F,2.7,CREDIT,,,,,X,,,,,,X,X,,,D,B,C,,B,
S0281/0531,F,2.3,CREDIT,,,,,X,,,,,,X,B,,,C,C,C,,X,
S0281/0532,F,3.0,MERIT,,,,,X,,,,,,X,B,,,C,X,B,,B,
S0281/0533,F,3.3,MERIT,,,,,X,,,,,,X,B,,,C,X,B,,+,
S0281/0534,F,3.3,MERIT,,,,,X,,,,,,X,B,,,C,X,B,,+,
S0281/0535,F,3.0,MERIT,,,,,X,,,,,,X,B,,,D,X,B,,B,
S0281/0536,F,3.0,MERIT,,,,,D,,,,,,B,X,,,D,B,B,,X,
